ris_type,type,paper_id,title,date,abstract,volume,isbn,pages,url,journal
JOUR,article,668,Control strategies for tuberculosis epidemics: new models for old problems,1996-01-01,"Tuberculosis, although preventable and curable, causes more adult deaths than any other infectious disease. A theoretical framework for designing effective control strategies is developed and used to determine treatment levels for eradication, to assess the effects of noneradicating control, and to examine the global goals of the World Health Organization. The theory is extended to assess how suboptimal control programs contribute to the evolution of drug resistance. A new evaluation criterion is defined and used to suggest how control strategies can be improved. In order to control tuberculosis, treatment failure rates must be lower in developing countries than in developed countries.",273,0036-8075 (Print),497-500,http://www.ncbi.nlm.nih.gov/pubmed/8662538,Science
JOUR,article,675,Evaluation of tuberculosis control policies using computer simulation,1996-01-01,"OBJECTIVE: To develop more effective methods to assess tuberculosis (TB) control strategies so we can meet national goals for the elimination of TB in the United States. DESIGN: Using a semi-Markov model that divided the US population into 3 age groups and 18 clinical states based on disease status and risk for TB and human immunodeficiency virus (HIV) infection, we measured the effects of 5 changes in TB policy, introduced singly and in combination: (1) increased coverage and (2) improved efficacy of preventive therapy, (3) increased coverage and (4) improved efficacy of treatment, and (5) introduction of BCG vaccination. RESULTS: A BCG vaccination program that reached 10% of eligible children and 1% of eligible adults each year would produce a 17% reduction in cases and an 11% decline in deaths over 10 years. Preventive therapy programs among the general population would have little effect on the number of TB cases, but a program targeting HIV-infected patients would reduce HIV-associated TB cases and deaths 14% to 20%. A 10% improvement in the coverage and efficacy of both preventive therapy and treatment, coupled with the BCG vaccination program, would lead to a 47% decline in TB cases and a 50% decline in TB deaths relative to baseline over 10 years. CONCLUSIONS: Improvements in treatment coverage or effectiveness alone are unlikely to reach established national goals for the elimination of TB. These goals can be achieved through a combination of improvements in current programs with targeted preventive therapy and BCG vaccination programs.",276,0098-7484 (Print),1898-903,http://jama.jamanetwork.com/article.aspx?articleid=411957,JAMA
JOUR,article,878,Cost-effectiveness of directly observed versus self-administered therapy for tuberculosis,1996-01-01,TY - JOUR TB Tuberculosis control Treatment No sub-heading Directly observed therapy,154,NA,1013-1019,NA,Am.J.Respir.Crit.Care Med.
JOUR,article,895,"An analytical framework for relating dose, risk, and incidence: an application to occupational tuberculosis infection",1996-01-01,"An adverse health impact is often treated as a binary variable (response vs. no response), in which case the risk of response is defined as a monotonically increasing function R of the dose received D. For a population of size N, specifying the forms of R(D) and of the probability density function (pdf) for D allows determination of the pdf for risk, and computation of the mean and variance of the distribution of incidence, where the latter parameters are denoted E[SN] and Var[SN], respectively. The distribution of SN describes uncertainty in the future incidence value. Given variability in dose (and risk) among population members, the distribution of incidence is Poisson-binomial. However, depending on the value of E[SN], the distribution of incidence is adequately approximated by a Poisson distribution with parameter mu = E[SN], or by a normal distribution with mean and variance equal to E[SN] and Var[SN]. The general analytical framework is applied to occupational infection by Mycobacterium tuberculosis (M. tb). Tuberculosis is transmitted by inhalation of 1-5 microns particles carrying viable M. tb bacilli. Infection risk has traditionally been modeled by the expression: R(D) = 1 - exp(-D), where D is the expected number of bacilli that deposit in the pulmonary region. This model assumes that the infectious dose is one bacillus. The beta pdf and the gamma pdf are shown to be reasonable and especially convenient forms for modeling the distribution of the expected cumulative dose across a large healthcare worker cohort. Use of the the analytical framework is illustrated by estimating the efficacy of different respiratory protective devices in reducing healthcare worker infection risk.",16,0272-4332 (Print),527-38,NA,Risk Anal
JOUR,article,684,A cost-effectiveness analysis of directly observed therapy vs self-administered therapy for treatment of tuberculosis,1997-01-01,"STUDY OBJECTIVES: To compare the costs and effectiveness of directly observed therapy (DOT) vs self-administered therapy (SAT) for the treatment of active tuberculosis. DESIGN: Decision analysis. SETTING: We used published rates for failure of therapy, relapse, and acquired multidrug resistance during the initial treatment of drug-susceptible tuberculosis cases using DOT or SAT. We estimated costs of tuberculosis treatment at an urban tuberculosis control program, a municipal hospital, and a hospital specializing in treating drug-resistant tuberculosis. OUTCOME MEASURES: The average cost per patient to cure drug-susceptible tuberculosis, including the cost of treating failures of initial treatment. RESULTS: The direct costs of initial therapy with DOT and SAT were similar ($1,206 vs $1,221 per patient, respectively), although DOT was more expensive when patient time costs were included. When the costs of relapse and failure were included in the model, DOT was less expensive than SAT, whether considering outpatient costs only ($1,405 vs $2,314 per patient treated), outpatient plus inpatient costs ($2,785 vs $10,529 per patient treated), or outpatient, inpatient, and patients' time costs ($3,999 vs $12,167 per patient treated). Threshold analysis demonstrated that DOT was less expensive than SAT through a wide range of cost estimates and clinical event rates. CONCLUSION: Despite its greater initial cost, DOT is a more cost-effective strategy than SAT because it achieves a higher cure rate after initial therapy, and thereby decreases treatment costs associated with failure of therapy and acquired drug resistance. This cost-effectiveness analysis supports the widespread implementation of DOT.",112,0012-3692 (Print) 0012-3692 (Linking),63-70,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=9228359,Chest
JOUR,article,688,To treat or not to treat: the case of tuberculosis,1997-01-01,"Incomplete treatment of patients with infectious tuberculosis (TB) may not only lead to relapse but also to the development of antibiotic resistant TB-one of the most serious health problems facing society today. In this article, we formulate one-strain and two-strain TB models to determine possible mechanisms that may allow for the survival and spread of naturally resistant strains of TB as well as antibiotic-generated resistant strains of TB. Analysis of our models shows that non-antibiotic co-existence is possible but rare for naturally resistant strains while co-existence is almost the rule for strains that result from the lack of compliance with antibiotic treatment by TB infected individuals.",35,0303-6812 (Print) 0303-6812 (Linking),629-656,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=9225454,J Math Biol
JOUR,article,570,Modelling the economic benefits of tuberculosis preventive therapy for people with HIV: the example of Zambia,1997-01-01,"OBJECTIVE: To assess the economic benefits and costs of providing isoniazid preventive therapy for tuberculosis (TB) in HIV-infected persons in Zambia. DESIGN: A spreadsheet model incorporating variables drawn from published studies and unpublished data. SUBJECTS: Data drawn from a number of different studies and published literature involving a range of subjects. SETTING: Zambia. RESULTS: Using data primarily from Zambia we have modelled the costs and benefits of a TB preventive therapy programme using daily isoniazid for 6 months. The basecase scenario assumes recruitment at a voluntary testing and counselling site where HIV seroprevalence is 30%; persons with HIV have a 25% probability of developing active TB during their lifetime; two additional cases of TB would be prevented per person completing a course of preventive therapy; compliance would be 63%, and the efficacy of the isoniazid in preventing active TB of 60%. The costs under this scenario would exceed the benefits by a factor of 1.16 [benefit: cost ratio (BCR) of 0.86]. However, if preventing one case of TB prevented an additional five cases, the benefits would exceed the costs by a significant margin (BCR of 1.71). Other scenarios indicate that the targeted preventive therapy of persons with HIV whose occupation or living situation places them in contact with a large number of others (teachers and students, health personnel, military and police, miners, prisoners, etc.) would yield significant net benefit. The operational challenge for TB preventive therapy is thus to identify and target large numbers of such persons.",11,0269-9370 (Print),919-25,http://graphics.tx.ovid.com/ovftpdfs/FPDDNCDCLFEDDD00/fs047/ovft/live/gv031/00002030/00002030-199707000-00012.pdf,AIDS
JOUR,article,773,Using a mathematical model to evaluate the efficacy of TB control measures,1997-01-01,"We evaluated the efficacy of recommended tuberculosis (TB) infection control measures by using a deterministic mathematical model for airborne contagion. We examined the percentage of purified protein derivative conversions under various exposure conditions, environmental controlstrategies, and respiratory protective devices. We conclude that environmental control cannot eliminate the risk for TB transmission during high-risk procedures; respiratory protective devices, and particularly high-efficiency particulate air masks, may provide nearly complete protection if used with air filtration or ultraviolet irradiation. Nevertheless, the efficiency of these control measures decreases as the infectivity of the source case increases. Therefore, administrative control measures (e.g., indentifying and isolating patients with infectious TB) are the most effective because they substantially reduce the rate of infection.",3,1080-6040 (Print),335-42,NA,Emerg Infect Dis
JOUR,article,775,Modelling the annual risk of tuberculosis infection,1997-01-01,"BACKGROUND: Tuberculosis has been declining in developed countries for a long time, as a result of the intrinsic epidemiological characteristics of this disease, combined with improvement in the standard of living and more recently the use of antibiotics. In these low prevalence countries, decisions concerning the objectives of tuberculosis programmes have to be taken and the consequences of short term changes in the sanitary situation have to be assessed. METHODS: A deterministic model, without age structure, of the dynamics of pulmonary tuberculosis is proposed. The model extends that of Waaler and is intended to be more suitable for application to developed countries. The flows between seven subgroups of population, based on the natural history of the disease, are modelled and vaccination is taken into account. Values of model parameters and initial prevalences were deduced from published data. RESULTS: As a first step, qualitative comparisons are performed between the model-predicted decline in the annual risk of infection (ARI) and data from the Netherlands tuberculosis survey. Using parameter values suited to France, our model shows that the predicted decline is slower in France than in the Netherlands; a result which tallies with epidemiological observations. Uses of the model as a decision tool are illustrated in two cases, that of ending systematic BCG vaccination and that of a sudden increase in the number of infectious cases.",26,0300-5771 (Print),190-203,http://ije.oxfordjournals.org/content/26/1/190.full.pdf,Int J Epidemiol
JOUR,article,801,Effectiveness and cost of rapid and conventional laboratory methods for Mycobacterium tuberculosis screening,1997-01-01,"OBJECTIVE: Because delay in the diagnosis of tuberculosis (TB) contributes to the spread of disease and the associated mortality risk, the authors examined the effectiveness and cost of recent advances in methods of diagnosing TB and testing for drug susceptibility, comparing these rapid methods to traditional approaches. METHODS: Decision analysis was used to compare newer rapid and older nonrapid methods for diagnosing TB and testing for drug susceptibility. The average time to diagnosis, average time to treatment, average mortality, and cost of caring for patients evaluated for TB were compared. RESULTS: Using a combination of solid medium and broth cultures, nucleic acid probes for identification, and radiometric broth drug susceptibility testing would lead to diagnosis on average 15 days faster and to appropriate therapy on average five days sooner than methods currently employed by many U.S. laboratories. The average mortality would drop by five patients per 1000 patients evaluated (31%) and the average cost per patient would drop by $272 (18%). CONCLUSIONS: In this era of cost containment, it is important to incorporate test sensitivity and specificity when evaluating technologies. Tests with higher unit costs may lead to lower medical expenditures when diagnostic accuracy and speed are improved. U.S. laboratories should employ available rapid techniques for the diagnosis of TB.",112,0033-3549 (Print) 0033-3549 (Linking),513-23,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=10822480,Public Health Rep
JOUR,article,840,Leprosy and tuberculosis: the epidemiological consequences of cross-immunity,1997-01-01,"OBJECTIVES: This study tested the hypothesis, first proposed by Chaussinand, that individual-level immunity acquired from exposure to tuberculosis may have contributed to the disappearance of leprosy from western Europe. METHODS: The epidemiological consequences of cross-immunity were assessed by the formulation of a mathematical model of the transmission dynamics of tuberculosis and leprosy. RESULTS: The conditions under which Mycobacterium tuberculosis could have eradicated Mycobacterium leprae were derived in terms of the basic reproductive rates of the two infections and the degree of cross-immunity. CONCLUSIONS: If the degree of cross-immunity between two diseases within an individual is known, then the epidemiological consequences of this cross-immunity can be assessed with transmission modeling. The results of this analysis, in combination with previous estimates of the basic reproductive rate of tuberculosis and degree of cross-immunity, imply that tuberculosis could have contributed to the decline of leprosy if the basic reproductive rate of leprosy was low.",87,0090-0036 (Print),1923-7,NA,Am J Public Health
JOUR,article,863,BCG Vaccination to Prevent Tuberculosis in Health Care Workers: A Decision Analysis,1997-01-01,NA,26,0091-7435,201-207,http://www.sciencedirect.com/science/article/pii/S0091743596901231,Preventive Medicine
JOUR,article,893,The cost-effectiveness of preventing tuberculosis in physicians using tuberculin skin testing or a hypothetical vaccine,1997-01-01,"BACKGROUND: Tuberculin skin testing using the purified protein derivative is recommended as part of a tuberculosis control program for health care workers. However, compliance with skin testing programs has been poor and their cost-effectiveness is unknown. METHODS: A Markov-based decision analysis was performed to determine the cost-effectiveness of tuberculin skin testing over the entire lifetimes of physicians who are now in medical school. Assumptions were deliberately chosen to present a conservative estimate of cost-effectiveness. Indirect costs were not included. RESULTS: Annual testing cost $29,000 per life-year saved and $39,000 per case of pulmonary tuberculosis prevented. In contrast, particulate respirators have been shown to cost millions of dollars per case prevented. Skin testing every 6 months was cost-effective in a subpopulation at high risk of infection (> or = 1.8-fold). During their entire lifetimes, physicians now in medical school can expect to avert 137 cases of pulmonary tuberculosis, prevent 7 tuberculosis deaths, and save 182 life-years because of skin testing programs. Improved compliance with annual skin testing and prophylactic isoniazid could more than triple this benefit. If available, a moderately effective vaccine would be even more cost-effective than tuberculin skin testing programs. CONCLUSIONS: Tuberculin skin testing is cost-effective and should be an integral part of any tuberculosis control program. Vaccination may one day be a feasible and cost-effective alternative to skin testing programs.",157,0003-9926 (Print),1121-7,http://archinte.jamanetwork.com/data/Journals/INTEMED/17545/archinte_157_10_009.pdf,Arch Intern Med
JOUR,article,937,Monitored isoniazid prophylaxis for low-risk tuberculin reactors older than 35 years of age: a risk-benefit and cost-effectiveness analysis,1997-01-01,"BACKGROUND: Isoniazid chemoprophylaxis effectively prevents the development of active infectious tuberculosis. Current guidelines recommend withholding this prophylaxis for low-risk tuberculin reactors older than 35 years of age because of the risk for fatal isoniazid-induced hepatitis. However, recent studies have shown that monitoring for hepatotoxicity can significantly reduce the risk for isoniazid-related death. OBJECTIVE: To evaluate the effectiveness and cost-effectiveness of monitored isoniazid prophylaxis for low-risk tuberculin reactors older than 35 years of age. DESIGN: A Markov model was used to compare the health and economic outcomes of prescribing or withholding a course of prophylaxis for low-risk reactors 35, 50, or 70 years of age. Subsequent analyses evaluated costs and benefits when the effect of transmission of Mycobacterium tuberculosis to contacts was included. MEASUREMENTS: Probability of survival at 1 year, number needed to treat, life expectancy, and cost per year of life gained for individual persons and total population. RESULTS: Isoniazid prophylaxis increased the probability of survival at 1 year and for all subsequent years. For 35-year old, 50-year-old, and 70-year-old tuberculin reactors, life expectancy increased by 4.9 days, 4.7 days, and 3.1 days, respectively, and costs per person decreased by $101, $69, and $11, respectively. When the effect of secondary transmission to contacts was included, the gains in life expectancy per person receiving prophylaxis were 10.0 days for 35-year-old reactors, 9.0 days for 50-year-old reactors, and 6.0 days for 70-year-old reactors. Costs per person for these cohorts decreased by $259, $203, and $100, respectively. The magnitude of the benefit of isoniazid prophylaxis is moderately sensitive to the effect of isoniazid on quality of life. The hypothetical provision of isoniazid prophylaxis for all low-risk reactors older than 35 years of age in the U.S. population could prevent 35,176 deaths and save $2.11 billion. CONCLUSIONS: Monitored isoniazid prophylaxis reduces mortality rates and health care costs for low-risk tuberculin reactors older than 35 years of age, although reductions for individual patients are small. For the U.S. population, however, the potential health benefits and economic savings resulting from wider use of monitored isoniazid prophylaxis are substantial. We should consider expanding current recommendations to include prophylaxis for tuberculin reactors of all ages with no contraindications.",127,0003-4819 (Print),1051-61,http://annals.org/data/Journals/AIM/19897/0000605-199712150-00001.pdf,Ann Intern Med
JOUR,article,939,Uncertainty and sensitivity analysis of the basic reproductive rate. Tuberculosis as an example,1997-01-01,"The basic reproductive rate (R0) is a measure of the severity of an epidemic. On the basis of replicated Latin hypercube sampling, the authors performed an uncertainty and sensitivity analysis of the basic reproductive rate of tuberculosis (TB). The uncertainty analysis allowed for the derivation of a frequency distribution for R0 and the assessment of the relative contribution each of the three components of R0 made when TB epidemics first arose centuries ago. (The three components of R0 are associated with fast, slow, and relapse TB.) R0 estimates indicated the existence of fairly severe epidemics when TB epidemics first arose. The R0 for the susceptible persons who developed TB slowly (R0(slow)) contributed the most to the R0 estimates; however, the relative R0(slow) contribution decreased as the severity of TB epidemics increased. The sensitivity of the magnitude of R0 to the uncertainty in estimating values of each of the input parameters was assessed. These results indicated that five of the nine input parameters, because of their estimation uncertainty, were influential in determining the magnitude of R0. This uncertainty and sensitivity methodology provides results that can aid investigators in understanding the historical epidemiology of TB by quantifying the effect of the transmission processes involved. Additionally, this method can be applied to the R0 of any other infectious disease to estimate the probability of an epidemic outbreak.",145,0002-9262 (Print),1127-37,http://aje.oxfordjournals.org/content/145/12/1127.full.pdf,Am J Epidemiol
JOUR,article,960,A model for interval-censored tuberculosis outbreak data,1997-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Tuberculosis Predict epi: prospects for the epidemic",16,NA,485-496,NA,Stat Med
JOUR,article,995,The annual risk of infection with Mycobacterium tuberculosis in England and Wales since 1901,1997-01-01,"SETTING: England and Wales. OBJECTIVE: To estimate the magnitude and trend in the annual risk of infection with Mycobacterium tuberculosis in England and Wales since 1901. DESIGN: Estimates for the prechemotherapy era are derived assuming that 1% of new infections among 0-4 year olds led to fatal tuberculosis meningitis, as found in the Netherlands. The estimates are validated against data from the 1949-1950 national tuberculin survey. We explore the trend thereafter using tuberculous meningitis notifications and data from the 1971-1973 national tuberculin survey, and discuss the utility of data collected under the national bacille Calmette-Guerin (BCG) vaccination scheme for estimating the annual risk of infection. RESULTS: Tuberculosis meningitis mortality rates among 0-4 year olds declined at 4% per annum until 1950, and suggest that the annual risk of infection declined from 12% in 1901 to 1.9% in 1949. The decline in the annual risk of infection probably accelerated in 1950, although its magnitude cannot be determined accurately. CONCLUSION: An accelerated decline in the annual risk of infection in England and Wales from 1950 probably resulted from the introduction of chemotherapy, which dramatically reduced the prevalence of sources of infection in the population. Data collected during the national BCG vaccination scheme were found to be unsuitable for estimating infection risks.",1,1027-3719 (Print),389-96,http://www.ncbi.nlm.nih.gov/pubmed/9441091,International Journal of Tuberculosis and Lung Disease
JOUR,article,996,The natural history of tuberculosis: the implications of age-dependent risks of disease and the role of reinfection,1997-01-01,"Many aspects of the natural history of tuberculosis are poorly understood. Though it is recognized that clinical tuberculosis may follow shortly after initial infection ('primary' disease), or many years thereafter through either endogenous reactivation or after reinfection, the relative importance of these mechanisms is often disputed. The issue is complicated by the fact that the risks of developing disease are age-dependent, and reflect infection risks which may change over time. This paper estimates the age-dependent risks of developing tuberculosis using an age-structured deterministic model of the dynamics of tuberculous infection and disease in England and Wales since 1900. The work extends the classical studies of Sutherland and colleagues. The best estimates of the risks of developing 'primary' disease (within 5 years of initial infection) were approximately 4%, 9% and 14% for individuals infected at ages 0-10, 15 years and over 20 years respectively, and a previous infection appeared to impart little protection against (further) reinfection, but 16-41% protection against disease subsequent to reinfection for adolescents and adults. We also provide evidence that reinfection made an important contribution to tuberculous morbidity in the past, as (i) exclusion of exogenous disease from the model considerably worsened the fit to observed notification rates, and (ii) the dramatic decline in the risk of tuberculous infection from 1950 in England and Wales accelerated the decline in morbidity among all individuals, even among the older age groups with a high prevalence of tuberculous infection. We conclude that the risk of infection is the single most important factor affecting the magnitude of the tuberculous morbidity in a population, as it determines both the age pattern of initial infection (and hence the risk of developing disease) and the risk of reinfection.",119,NA,183-201.,"C:\users\rw\Papers\Vynnycky, Epi and Inf, 1997.pdf",Epidemiol Infect
JOUR,article,1012,Modeling the impact of HIV on the spread of tuberculosis in the United States,1997-01-01,"Tuberculosis (TB) was thought to be safely in decline in the United States in the mid-1980s because the number of cases had dropped by 74% between 1953 and 1985. An increase in TB cases was reported, however, in 1986, and an upward trend in TB incidence has continued. The turnaround in TB is well correlated with the rise of the HIV (human immunodeficiency virus) epidemic. The purpose of this work is to investigate, through the use of mathematical models, the magnitude and duration of the effect that the HIV epidemic may have on TB. Models are developed which reflect the transmission dynamics of both TB and HIV, and the relative merits of these models are discussed. The models are then linked together to form a model for the combined spread of both diseases. A numerical study is performed to investigate the influence of certain key parameters. The effect that HIV will have on the general population is found to be dependent on the contact structure between the general population and the HIV risk groups, as well as a possible shift in the dynamics associated with TB transmission.",143,0025-5564 (Print),35-60,NA,Math Biosci
JOUR,article,666,"Understanding, predicting and controlling the emergence of drug-resistant tuberculosis: a theoretical framework",1998-01-01,"The high prevalence of tuberculosis in developing countries and the recent resurgence of tuberculosis in many developed countries suggests that current control strategies are suboptimal. The increase in drug-resistant cases exacerbates the control problems. Currently employed epidemic control strategies are not devised on the basis of a theoretical understanding of the transmission dynamics of Mycobacterium tuberculosis. We describe and discuss a theoretical framework based upon mathematical transmission models that can be used for understanding, predicting, and controlling tuberculosis epidemics. We illustrate how the theoretical framework can be used to predict the temporal dynamics of the emergence of drug resistance, to predict the epidemiological consequences of epidemic control strategies in developing and developed countries, and to design epidemic control strategies.",76,0946-2716 (Print),624-36,NA,J Mol Med (Berl)
JOUR,article,689,Global stability of an age-structure model for TB and its applications to optimal vaccination strategies,1998-01-01,"This article focuses on the study of an age-structure model for the disease transmission dynamics of tuberculosis in populations that are subjected to a vaccination program. We first show that the infection-free steady state is globally stable if the basic reproductive number R0 is below one, and that an endemic steady state exists when the reproductive number in the presence of vaccine is above one. We then apply the theoretical results to vaccination policies to determine the optimal age or ages at which an individual should be vaccinated. It is shown that the optimal strategies can be either one- or two-age strategies.",151,0025-5564 (Print),135-54,http://www.ncbi.nlm.nih.gov/pubmed/9711046,Math Biosci
JOUR,article,568,Prospects for worldwide tuberculosis control under the WHO DOTS strategy. Directly observed short-course therapy,1998-01-01,"BACKGROUND: WHO advocates the use of directly observed treatment with a short-course drug regimen as part of the DOTS strategy, but the potential effect of this strategy worldwide has not been investigated. METHODS: We developed an age-structured mathematical model to explore the characteristics of tuberculosis control under DOTS, and to forecast the effect of improved case finding and cure on tuberculosis epidemics for each of the six WHO regions. FINDINGS: In countries where the incidence of tuberculosis is stable and HIV-1 absent, a control programme that reaches the WHO targets of 70% case detection and 85% cure would reduce the incidence rate by 11% (range 8-12) per year and the death rate by 12% (9-13) per year. If tuberculosis has been in decline for some years, the same case detection and cure rates would have a smaller effect on incidence. DOTS saves a greater proportion of deaths than cases, and this difference is bigger in the presence of HIV-1. HIV-1 epidemics cause an increase in tuberculosis incidence, but do not substantially reduce the preventable proportion of cases and deaths. Without greater effort to control tuberculosis, the annual incidence of the disease is expected to increase by 41% (21-61) between 1998 and 2020 (from 7.4 million to 10.6 million cases per year). Achievement of WHO targets by 2010 would prevent 23% (15-30) or 48 million cases by 2020. INTERPRETATION: The potential effect of chemotherapy (delivered as DOTS) on tuberculosis is greater in many developing countries now than it was in developed countries 50 years ago. To exploit this potential, case detection and cure rates urgently need to be improved in the main endemic areas.",352,0140-6736 (Print),1886-91,http://ac.els-cdn.com/S0140673698031997/1-s2.0-S0140673698031997-main.pdf?_tid=28243448b090057ef68206195322d939&acdnat=1345104104_a8557f9be98cd1c666ed199d7693b80f,Lancet
JOUR,article,763,The relative efficacy of respirators and room ventilation in preventing occupational tuberculosis,1998-01-01,"OBJECTIVES: To evaluate the relative efficacy of personal respiratory protection as the concentrations of infectious aerosols increase or as room ventilation rates decrease. METHODS: We modified the Wells-Riley mathematical model of airborne transmission of disease by adding a variable for respirator leakage. We modeled three categories of infectiousness using various room ventilation rates and classes of respirators over a 10-hour exposure period. RESULTS: The risk of infection decreases exponentially with increasing room ventilation or with increasing personal respiratory protection. The relative efficacy of personal respiratory protection decreases as room ventilation rates increase or as the concentrations of infectious aerosols decrease. CONCLUSIONS: These modeling data suggest that the risk of occupational tuberculosis probably can be lowered considerably by using relatively simple respirators combined with modest room ventilation rates for the infectious aerosols likely to be present in isolation rooms of newly diagnosed patients. However, more sophisticated respirators may be needed to achieve a comparable risk reduction for exposures to more highly concentrated aerosols, such as may be generated during cough-inducing procedures or autopsies involving infectious patients. There is probably minimal benefit to the use of respirators in well-ventilated isolation rooms with patients receiving appropriate therapy.",19,0899-823X (Print),754-9,NA,Infect Control Hosp Epidemiol
JOUR,article,765,The effect of heterologous immunity upon the apparent efficacy of (e.g. BCG) vaccines,1998-01-01,"Exposure of populations to microbes which share antigens with pathogens can influence the apparent efficacy of vaccines. This may explain the great variation (from below 0 to 80%) observed in protection by Bacillus Calmette Guerin (BCG) against tuberculosis. This paper explores three models for the effect of such heterologous immunity, and demonstrates that: (a) if the immune responses to the microbial antigens in nature and in the vaccines differ qualitatively, there will be no effect on observed efficacy; (b) if the immune responses differ only quantitatively, the observed vaccine efficacy will be reduced, and it will be minimal when vaccine-induced and heterologous protection are of similar magnitude; and (c) if the heterologous exposure can block the vaccine action, then observed efficacy will be reduced and may even appear negative. These results provide important guidance for the interpretation of BCG's utility and for the development and evaluation of new vaccines, in particular against tuberculosis.",16,NA,1923-8.,http://www.ncbi.nlm.nih.gov/htbin-post/Entrez/query?db=m&form=6&dopt=r&uid=9796044,Vaccine
JOUR,article,845,Population dynamics of tuberculosis treatment: mathematical models of the roles of non-compliance and bacterial heterogeneity in the evolution of drug resistance,1998-01-01,"SETTING: Patient non-compliance and/or spatial heterogeneity in drug concentration or effectiveness may contribute to the emergence of drug resistance during multiple-drug chemotherapy of tuberculosis. OBJECTIVE: Using mathematical models of mycobacterial population dynamics under antimicrobial treatment, to assess the effects of non-compliance, heterogeneity and other factors on the success of treatment. DESIGN: A mathematical model is used to generate predictions about the ascent of drug resistance in treated hosts with non-compliance and/or a 'protected compartment' of bacteria where only one drug is active; simulations of a more realistic version of this model take into account random mutation, and different assumptions about the size of, and growth rate of bacteria in, the protected compartment. RESULTS: The existence of a protected compartment can increase the likelihood of resistance to the single drug active in that compartment, but only if bacteria resistant to that drug can grow in the protected compartment or if the host is non-adherent to the treatment regimen. However, the protected compartment may also slow the ascent of bacteria resistant to drugs not active in it (e.g. isoniazid) by providing a reservoir of non-selected mycobacteria. The model predicts that relative rates of killing are more important than mutation rates in determining the order in which resistant mutants ascend. Model predictions, in combination with data about drug resistance patterns, suggest that non-compliance, but not heterogeneity, is an important cause of treatment failure. CONCLUSION: Patterns of acquired drug resistance may be used to infer processes of selection during treatment; mathematical models can aid in generating predictions about the relative impacts of treatment parameters in the evolution of resistance, and eventually in suggesting improved treatment protocols.",2,1027-3719 (Print),187-99,NA,International Journal of Tuberculosis and Lung Disease
JOUR,article,883,Modeling the impact of global tuberculosis control strategies,1998-01-01,"An epidemiological model of tuberculosis has been developed and applied to five regions of the world. Globally, 6.7 million new cases of tuberculosis and 2.4 million deaths from tuberculosis are estimated for 1998. Based on current trends in uptake of the World Health Organization's strategy of directly observed treatment, short-course, we expect a total of 225 million new cases and 79 million deaths from tuberculosis between 1998 and 2030. Active case-finding by using mass miniature radiography could save 23 million lives over this period. A single contact treatment for tuberculosis could avert 24 million cases and 11 million deaths; combined with active screening, it could reduce mortality by nearly 40%. A new vaccine with 50% efficacy could lower incidence by 36 million cases and mortality by 9 million deaths. Support for major extensions to global tuberculosis control strategies will occur only if the size of the problem and the potential for action are recognized more widely.",95,0027-8424 (Print),13881-6,http://www.pnas.org/content/95/23/13881.full.pdf,Proceedings of the National Academy of Sciences of the USA
JOUR,article,884,Expanding the WHO tuberculosis control strategy: rethinking the role of active case-finding,1998-01-01,"Murray, C J",2,1027-3719 (Print),S9-15,http://www.ncbi.nlm.nih.gov/pubmed/9755959,International Journal of Tuberculosis and Lung Disease
JOUR,article,904,A model of the cost-effectiveness of directly observed therapy for treatment of tuberculosis,1998-01-01,"A hypothetical cohort of 25,000 TB patients and their contacts were followed for a 10-year period; rates of treatment default, infectiousness following partial treatment, relapse, hospitalization, and development of drug-resistant TB were included. The average cost per case cured was $16,846 with 15% of patients starting DOT, $17,323 with 100% starting DOT, and $20,106 with none starting DOT. The incremental cost per additional case cured was $24,064 when all patients, started treatment on DOT, indicating that outpatient DOT provides a cost-effective method of improving health outcomes for TB patients and their contacts while controlling direct costs.",4,1078-4659 (Print) 1078-4659 (Linking),1-13,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=10186738,J Public Health Manag Pract
